P	|V|	|F|	|S|	|B|	|A|	|X|	|E|
0	7	11	3	1	0	4	7
1	6	8	4	4	0	8	0
2	8	17	6	0	0	6	11
3	7	13	2	4	0	6	7
4	8	15	6	3	0	9	6
5	9	18	6	0	0	6	12
6	8	15	3	3	0	6	9
7	8	16	4	2	0	6	10
8	7	12	6	6	0	12	0
9	7	12	3	3	0	6	6
10	8	15	3	0	0	3	12
11	8	16	4	2	0	6	10
12	8	16	2	0	0	2	14
13	7	12	4	2	0	6	6
14	8	16	8	2	0	10	6
15	8	16	4	2	0	6	10
16	8	16	8	0	0	8	8
17	7	13	4	1	0	5	8
18	7	12	6	6	0	12	0
19	7	12	6	0	0	6	6
20	6	9	6	3	0	9	0
21	9	21	10	0	0	10	11
22	8	17	3	2	0	5	12
23	8	17	3	2	0	5	12
24	9	23	12	1	0	13	10
25	10	30	30	0	0	30	0
26	7	13	3	4	0	7	6
27	8	17	17	0	0	17	0
28	8	15	3	3	0	6	9
29	9	18	3	0	0	3	15
30	8	16	2	1	0	3	13
31	8	15	6	0	0	6	9
32	7	12	3	3	0	6	6
33	8	17	2	2	0	4	13
34	9	21	4	0	0	4	17
35	9	21	4	0	0	4	17
36	8	18	3	0	0	3	15
37	9	24	24	0	0	24	0
38	8	18	4	0	0	4	14
39	8	17	4	2	0	6	11
40	8	16	4	1	0	5	11
41	7	13	4	1	0	5	8
42	7	13	6	2	0	8	5
43	7	12	3	3	0	6	6
44	8	15	15	0	0	15	0
45	7	12	6	3	0	9	3
46	6	9	3	6	0	9	0
47	9	20	8	4	0	12	8
48	10	24	8	0	0	8	16
49	9	20	4	4	0	8	12
50	8	16	8	8	0	16	0
51	8	16	4	4	0	8	8
52	9	20	4	0	0	4	16
53	9	20	4	4	0	8	12
54	10	24	4	0	0	4	20
55	9	20	4	2	0	6	14
56	10	24	4	0	0	4	20
57	9	20	2	2	0	4	16
58	9	20	8	0	0	8	12
59	8	16	4	4	0	8	8
60	9	20	4	0	0	4	16
61	10	24	8	0	0	8	16
62	9	20	8	4	0	12	8
63	9	21	4	2	0	6	15
64	9	20	8	4	0	12	8
65	10	24	8	0	0	8	16
66	10	24	24	0	0	24	0
67	9	20	4	4	0	8	12
68	9	20	8	0	0	8	12
69	8	16	8	2	0	10	6
70	8	16	4	2	0	6	10
71	8	16	8	8	0	16	0
72	8	16	8	0	0	8	8
73	7	12	8	4	0	12	0
74	10	25	4	1	0	5	20
75	11	30	12	0	0	12	18
76	12	36	36	0	0	36	0
77	9	20	4	0	0	4	16
78	10	24	12	0	0	12	12
79	9	20	4	2	0	6	14
80	8	16	4	0	0	4	12
81	8	16	2	2	0	4	12
82	8	16	4	4	0	8	8
83	9	20	20	0	0	20	0
84	8	16	8	0	0	8	8
85	7	12	4	0	0	4	8
86	8	17	4	1	0	5	12
87	8	16	4	2	0	6	10
88	8	16	8	0	0	8	8
89	8	16	4	1	0	5	11
90	8	16	4	4	0	8	8
91	9	20	8	0	0	8	12
92	8	16	8	0	0	8	8
93	7	12	4	2	0	6	6
94	8	15	6	3	0	9	6
95	9	18	6	0	0	6	12
96	8	15	3	3	0	6	9
97	9	20	8	4	0	12	8
98	10	24	24	0	0	24	0
99	9	18	18	0	0	18	0
100	8	15	6	0	0	6	9
101	8	15	6	3	0	9	6
102	8	16	8	2	0	10	6
103	7	11	6	1	0	7	4
104	7	11	3	1	0	4	7
105	7	12	6	6	0	12	0
106	7	12	4	2	0	6	6
107	7	12	3	3	0	6	6
108	7	13	8	1	0	9	4
109	8	16	8	8	0	16	0
110	8	16	16	0	0	16	0
111	7	12	8	4	0	12	0
112	7	12	6	6	0	12	0
113	7	12	12	0	0	12	0
114	6	8	6	2	0	8	0
115	6	8	4	4	0	8	0
116	7	12	6	6	0	12	0
117	6	9	6	3	0	9	0
118	8	16	16	16	16	0	16
119	7	12	12	12	12	0	12
120	6	8	4	4	0	8	0
121	6	8	8	8	8	0	8
122	6	9	9	9	9	0	9
123	5	5	5	5	5	0	5
