P	nF	ILI	Sp	Bil	And	Xor	Eq
7522	32	32	16	16	0	32	0
7523	32	32	32	0	0	32	0
7524	20	20	8	2	0	10	10
7525	36	36	24	12	0	36	0
7526	20	20	8	2	0	10	10
7527	20	20	16	4	0	20	0
7528	20	20	10	10	0	20	0
7529	20	4	1	1	0	2	18
7530	20	20	5	5	0	10	10
7531	32	32	16	0	0	16	16
7532	32	32	16	0	0	16	16
7533	36	36	18	18	0	36	0
7534	36	36	36	0	0	36	0
7535	32	32	32	0	0	32	0
7536	20	4	1	1	0	2	18
7537	20	20	10	10	0	20	0
7538	20	20	5	5	0	10	10
7539	20	20	10	5	0	15	5
7540	20	20	10	10	0	20	0
7541	20	20	20	0	0	20	0
7542	23	5	4	0	0	4	19
7543	24	24	16	8	0	24	0
7544	24	24	8	0	0	8	16
7545	24	24	12	2	0	14	10
7546	24	24	8	4	0	12	12
7547	25	25	18	1	0	19	6
7548	24	24	18	6	0	24	0
7549	24	24	16	8	0	24	0
7550	24	24	24	0	0	24	0
7551	12	12	10	2	0	12	0
7552	12	12	6	6	0	12	0
7553	20	20	10	10	0	20	0
7554	20	20	10	0	0	10	10
7555	15	15	10	5	0	15	0
7556	20	20	5	5	0	10	10
7557	20	20	5	0	0	5	15
7558	15	15	5	5	0	10	5
7559	24	24	12	12	0	24	0
7560	24	24	8	4	0	12	12
7561	24	24	9	3	0	12	12
7562	27	27	12	2	0	14	13
7563	32	32	16	16	0	32	0
7564	32	32	16	0	0	16	16
7565	24	24	16	8	0	24	0
7566	24	24	9	3	0	12	12
7567	24	24	12	12	0	24	0
7568	24	24	12	0	0	12	12
7569	16	16	12	4	0	16	0
7570	24	24	8	4	0	12	12
7571	24	24	4	8	0	12	12
7572	28	28	18	2	0	20	8
7573	32	32	8	8	0	16	16
7574	24	24	8	16	0	24	0
7575	24	24	8	4	0	12	12
7576	24	24	16	4	0	20	4
7577	16	16	8	8	0	16	0
7578	36	36	18	18	0	36	0
7579	36	36	18	0	0	18	18
7580	27	27	18	9	0	27	0
7581	36	36	9	9	0	18	18
7582	27	27	9	0	0	9	18
7583	36	36	12	6	0	18	18
7584	27	27	12	3	0	15	12
7585	48	48	24	24	0	48	0
7586	36	36	24	12	0	36	0
7587	36	36	18	18	0	36	0
7588	36	36	36	0	0	36	0
7589	24	24	9	3	0	12	12
7590	24	24	18	6	0	24	0
7591	24	24	12	12	0	24	0
7592	24	24	8	4	0	12	12
7593	24	24	12	12	0	24	0
7594	24	24	24	0	0	24	0
7595	27	27	18	9	0	27	0
7596	15	15	12	3	0	15	0
7597	64	64	64	64	64	0	64
7598	48	48	48	48	48	0	48
7599	32	32	16	16	0	32	0
7600	32	32	32	32	32	0	32
7601	20	20	10	10	0	20	0
7602	20	20	5	5	0	10	10
7603	36	36	36	36	36	0	36
7604	20	20	10	10	0	20	0
7605	20	20	20	20	20	0	20
7606	12	12	6	6	0	12	0
7607	20	4	4	0	0	4	16
7608	24	24	16	8	0	24	0
7609	24	24	12	12	0	24	0
7610	24	24	24	24	24	0	24
7611	12	12	6	6	0	12	0
7612	12	12	6	6	0	12	0
7613	12	12	12	12	12	0	12
7614	15	15	10	5	0	15	0
7615	15	15	5	10	0	15	0
7616	16	16	12	4	0	16	0
7617	27	27	27	27	27	0	27
7618	15	15	10	5	0	15	0
7619	15	15	15	15	15	0	15
7620	16	16	16	16	16	0	16
7621	7	7	7	7	7	0	7
