Pol	|V|	|F|	|S|	|B|	|A|	|X|	|E|
0	9	17	5	1	0	6	11
1	8	12	6	6	0	12	0
2	9	23	6	4	0	10	13
3	10	25	10	5	0	15	10
4	11	30	10	0	0	10	20
5	10	25	5	5	0	10	15
6	10	28	8	2	0	10	18
7	9	20	10	10	0	20	0
8	9	20	5	5	0	10	10
9	10	25	5	0	0	5	20
10	10	28	8	2	0	10	18
11	10	28	6	0	0	6	22
12	9	20	8	2	0	10	10
13	10	28	8	2	0	10	18
14	10	28	8	2	0	10	18
15	10	28	8	0	0	8	20
16	9	23	8	1	0	9	14
17	9	20	10	10	0	20	0
18	9	20	10	0	0	10	10
19	8	15	10	5	0	15	0
20	10	35	6	2	0	8	27
21	10	35	6	0	0	6	29
22	9	27	6	2	0	8	19
23	10	25	5	5	0	10	15
24	11	30	5	0	0	5	25
25	10	25	5	5	0	10	15
26	10	28	4	1	0	5	23
27	10	25	10	0	0	10	15
28	9	20	5	5	0	10	10
29	10	28	4	1	0	5	23
30	9	20	5	5	0	10	10
31	10	25	5	0	0	5	20
32	11	39	6	0	0	6	33
33	10	34	6	0	0	6	28
34	10	28	8	1	0	9	19
35	9	23	8	1	0	9	14
36	10	31	8	1	0	9	22
37	10	34	6	0	0	6	28
38	10	28	4	1	0	5	23
39	10	28	4	0	0	4	24
40	9	23	4	1	0	5	18
41	9	23	8	1	0	9	14
42	9	20	5	5	0	10	10
43	10	25	10	0	0	10	15
44	9	20	10	5	0	15	5
45	9	20	5	0	0	5	15
46	8	15	5	5	0	10	5
47	10	35	9	2	0	11	24
48	10	39	6	0	0	6	33
49	10	35	3	2	0	5	30
50	11	43	9	0	0	9	34
51	10	35	6	2	0	8	27
52	9	27	3	4	0	7	20
53	10	25	5	5	0	10	15
54	11	30	5	0	0	5	25
55	10	28	4	1	0	5	23
56	10	25	5	0	0	5	20
57	9	20	5	5	0	10	10
58	11	39	3	0	0	3	36
59	10	34	3	0	0	3	31
60	10	31	8	1	0	9	22
61	10	34	6	0	0	6	28
62	10	28	4	1	0	5	23
63	10	28	8	1	0	9	19
64	9	23	4	1	0	5	18
65	9	23	4	2	0	6	17
66	9	20	5	5	0	10	10
67	10	25	5	0	0	5	20
68	9	20	5	5	0	10	10
69	8	15	5	10	0	15	0
70	10	34	12	0	0	12	22
71	9	25	3	9	0	12	13
72	10	32	8	4	0	12	20
73	10	33	9	3	0	12	21
