Poly	|V|	|F|	|S|	|B|	|A|	|X|	|E|
7000	10	36	12	2	0	14	22
7001	10	36	18	0	0	18	18
7002	10	28	6	0	0	6	22
7003	12	64	16	16	0	32	32
7004	13	80	80	0	0	80	0
7005	12	64	32	0	0	32	32
7006	11	48	16	0	0	16	32
7007	12	64	32	0	0	32	32
7008	11	48	16	8	0	24	24
7009	11	48	32	0	0	32	16
7010	10	32	8	0	0	8	24
7011	11	48	48	0	0	48	0
7012	10	32	16	0	0	16	16
7013	11	48	12	12	0	24	24
7014	12	60	60	0	0	60	0
7015	12	64	64	0	0	64	0
7016	11	48	24	0	0	24	24
7017	10	32	12	4	0	16	16
7018	10	32	6	2	0	8	24
7019	11	48	24	0	0	24	24
7020	11	48	32	0	0	32	16
7021	10	32	12	2	0	14	18
7022	10	32	12	4	0	16	16
7023	10	32	24	0	0	24	8
7024	10	36	12	0	0	12	24
7025	10	36	16	4	0	20	16
7026	10	36	36	0	0	36	0
7027	9	20	12	0	0	12	8
7028	11	48	12	0	0	12	36
7029	11	51	12	3	0	15	36
7030	11	51	12	3	0	15	36
7031	11	51	6	3	0	9	42
7032	11	51	6	0	0	6	45
7033	12	68	16	4	0	20	48
7034	11	48	6	1	0	7	41
7035	11	48	12	2	0	14	34
7036	11	51	12	0	0	12	39
7037	11	51	12	0	0	12	39
7038	11	51	12	3	0	15	36
7039	10	31	16	1	0	17	14
7040	10	31	8	1	0	9	22
7041	10	28	8	2	0	10	18
7042	10	28	8	1	0	9	19
7043	10	31	4	1	0	5	26
7044	10	28	4	1	0	5	23
7045	10	28	4	1	0	5	23
7046	10	32	8	8	0	16	16
7047	11	40	8	0	0	8	32
7048	10	32	8	8	0	16	16
7049	11	40	16	0	0	16	24
7050	11	44	12	4	0	16	28
7051	11	44	12	4	0	16	28
7052	11	44	12	0	0	12	32
7053	10	36	12	2	0	14	22
7054	10	32	6	2	0	8	24
7055	11	44	12	0	0	12	32
7056	10	36	6	2	0	8	28
7057	10	32	4	4	0	8	24
7058	11	40	8	0	0	8	32
7059	11	44	6	0	0	6	38
7060	11	44	12	2	0	14	30
7061	10	35	6	1	0	7	28
7062	11	48	6	2	0	8	40
7063	10	37	6	1	0	7	30
7064	10	32	8	8	0	16	16
7065	11	40	8	0	0	8	32
7066	11	44	6	2	0	8	36
7067	11	44	12	0	0	12	32
7068	10	36	6	0	0	6	30
7069	10	32	4	4	0	8	24
7070	11	40	4	0	0	4	36
7071	10	32	4	4	0	8	24
7072	11	40	8	0	0	8	32
7073	11	44	6	2	0	8	36
7074	11	44	12	0	0	12	32
7075	10	36	6	1	0	7	29
7076	11	44	6	1	0	7	37
7077	10	35	6	1	0	7	28
7078	10	37	6	1	0	7	30
