Poly	nF	ILI	Sp	Bil	And	Xor	Eq
72156	54	54	18	9	0	27	27
72157	54	54	36	0	0	36	18
72158	36	36	18	0	0	18	18
72159	72	72	24	12	0	36	36
72160	54	54	24	6	0	30	24
72161	54	54	18	9	0	27	27
72162	36	36	18	3	0	21	15
72163	36	36	24	2	0	26	10
72164	96	96	48	48	0	96	0
72165	72	72	48	24	0	72	0
72166	72	72	36	36	0	72	0
72167	72	72	72	0	0	72	0
72168	48	48	18	6	0	24	24
72169	48	48	36	12	0	48	0
72170	48	48	24	24	0	48	0
72171	48	48	12	12	0	24	24
72172	48	48	16	8	0	24	24
72173	48	48	24	24	0	48	0
72174	48	48	48	0	0	48	0
72175	30	30	12	3	0	15	15
72176	54	54	36	18	0	54	0
72177	30	30	12	3	0	15	15
72178	30	30	24	6	0	30	0
72179	30	30	15	15	0	30	0
72180	30	6	2	1	0	3	27
72181	30	30	10	5	0	15	15
72182	30	30	5	10	0	15	15
72183	48	48	24	0	0	24	24
72184	54	54	27	27	0	54	0
72185	54	54	54	0	0	54	0
72186	30	30	15	15	0	30	0
72187	30	30	10	5	0	15	15
72188	30	30	20	5	0	25	5
72189	30	30	15	15	0	30	0
72190	30	30	30	0	0	30	0
72191	34	7	6	0	0	6	28
72192	36	36	24	12	0	36	0
72193	36	36	12	0	0	12	24
72194	36	36	18	3	0	21	15
72195	36	36	16	4	0	20	16
72196	36	36	27	9	0	36	0
72197	36	36	24	12	0	36	0
72198	18	18	15	3	0	18	0
72199	128	128	128	128	128	0	128
72200	96	96	96	96	96	0	96
72201	64	64	32	32	0	64	0
72202	64	64	64	64	64	0	64
72203	40	40	20	20	0	40	0
72204	40	40	10	10	0	20	20
72205	72	72	72	72	72	0	72
72206	40	40	20	20	0	40	0
72207	40	40	40	40	40	0	40
72208	24	24	12	12	0	24	0
72209	24	24	6	6	0	12	12
72210	40	8	8	0	0	8	32
72211	48	48	32	16	0	48	0
72212	48	48	24	24	0	48	0
72213	48	48	48	48	48	0	48
72214	24	24	12	12	0	24	0
72215	24	24	6	6	0	12	12
72216	24	24	12	12	0	24	0
72217	24	24	24	24	24	0	24
72218	14	14	7	7	0	14	0
72219	24	4	4	0	0	4	20
72220	24	24	6	0	0	6	18
72221	30	30	20	10	0	30	0
72222	30	6	6	0	0	6	24
72223	30	6	3	3	0	6	24
72224	30	6	6	0	0	6	24
72225	30	30	10	20	0	30	0
72226	30	30	10	5	0	15	15
72227	32	32	12	4	0	16	16
72228	32	32	24	8	0	32	0
72229	32	32	16	16	0	32	0
72230	32	32	16	16	0	32	0
72231	32	32	32	0	0	32	0
72232	24	4	4	0	0	4	20
72233	54	54	54	54	54	0	54
72234	30	30	20	10	0	30	0
72235	30	30	15	15	0	30	0
72236	30	30	30	30	30	0	30
72237	14	14	7	7	0	14	0
72238	32	32	32	32	32	0	32
72239	14	14	7	7	0	14	0
72240	14	14	7	7	0	14	0
72241	14	14	14	14	14	0	14
72242	18	18	12	6	0	18	0
72243	18	18	6	6	0	12	6
72244	20	20	15	5	0	20	0
72245	20	20	10	10	0	20	0
72246	36	36	24	12	0	36	0
72247	20	20	16	4	0	20	0
72248	36	36	36	36	36	0	36
72249	18	3	2	1	0	3	15
72250	18	18	6	12	0	18	0
72251	18	18	12	6	0	18	0
72252	18	18	18	18	18	0	18
72253	20	20	15	5	0	20	0
72254	20	20	20	20	20	0	20
72255	8	8	8	8	8	0	8
